# ----------------------------------------
# OXO Solutions Website
# Pages
# 20210101-20210302
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/web-speed-optimization/,32,30,00:01:14,9,66.67%,62.50%,₹0.00
/serve-resources-from-consistent-url/,30,30,00:00:14,28,96.43%,93.33%,₹0.00
/corporate-social-responsibility/,28,24,00:00:41,8,87.50%,35.71%,₹0.00
/vision/,28,28,00:00:08,5,100.00%,82.14%,₹0.00
/service/website-designing/,27,20,00:00:51,7,57.14%,33.33%,₹0.00
/research/ai/,26,23,00:01:16,3,66.67%,57.69%,₹0.00
/combine-images-using-css-sprites/,24,24,00:00:53,24,95.83%,95.83%,₹0.00
/gmail-old-vs-new-logo/,24,24,00:11:24,22,95.45%,95.83%,₹0.00
/about/our-logo/,23,23,00:00:26,3,100.00%,69.57%,₹0.00
/research/,23,22,00:00:18,7,100.00%,52.17%,₹0.00
/research/progressive-web-applications/,23,23,00:00:00,13,100.00%,100.00%,₹0.00
/mission/,21,20,00:00:19,2,100.00%,66.67%,₹0.00
/service/graphics-design/,21,19,00:01:51,7,57.14%,33.33%,₹0.00
/event/,20,18,00:00:36,4,100.00%,30.00%,₹0.00
/product/hrm/,20,18,00:06:15,14,85.71%,75.00%,₹0.00
/service/software-development/,20,18,00:00:13,4,75.00%,30.00%,₹0.00
/happenings/,19,17,00:00:05,2,100.00%,21.05%,₹0.00
/service/web-development/,18,15,00:01:13,1,100.00%,33.33%,₹0.00
/resources/,17,15,00:00:10,3,100.00%,35.29%,₹0.00
/optimize-the-order-of-styles-and-scripts/,16,15,00:02:58,15,93.33%,93.75%,₹0.00
/research/big-data/,16,15,00:00:20,0,0.00%,62.50%,₹0.00
/what-is-typography-and-how-to-get-it-right-a-beginners-guide/,16,8,00:02:35,2,50.00%,25.00%,₹0.00
/product/live-chat/,15,15,00:00:18,12,91.67%,86.67%,₹0.00
/social-media-marketing/,13,13,00:00:00,10,100.00%,100.00%,₹0.00
/solution/digital-marketing/,13,11,00:05:15,4,75.00%,46.15%,₹0.00
/solution/education-solutions/,13,12,00:00:15,9,100.00%,69.23%,₹0.00
/specify-a-vary-accept-encoding-header/,13,10,00:02:11,10,70.00%,76.92%,₹0.00
/career/life-at-oxo/,12,12,00:01:13,0,0.00%,16.67%,₹0.00
/product/crm/,12,12,00:00:00,12,100.00%,100.00%,₹0.00
/research/iot/,11,11,00:00:14,4,100.00%,63.64%,₹0.00
/solution/business-automation-2/,11,11,00:00:49,8,100.00%,72.73%,₹0.00
/solution/healthcare-solutions/,11,11,00:00:22,8,87.50%,63.64%,₹0.00
/project-category/web-design-portfolio/,10,9,00:04:11,2,50.00%,30.00%,₹0.00
/research/web/website-speed-optimization/,10,10,00:00:07,0,0.00%,80.00%,₹0.00
/project-category/e-commerce/,9,9,00:00:07,6,100.00%,77.78%,₹0.00
/research/security/,9,8,00:00:12,1,100.00%,77.78%,₹0.00
/service/logo-design/,9,9,00:00:28,0,0.00%,22.22%,₹0.00
/service/seo/,9,8,00:01:17,3,100.00%,44.44%,₹0.00
/specify-a-cache-validator/,9,8,00:07:14,8,87.50%,88.89%,₹0.00
/product/cloud-computing/,7,7,00:00:31,4,100.00%,57.14%,₹0.00
/product/erp/,7,3,00:04:17,3,0.00%,28.57%,₹0.00
/service/project-consultancy/,7,7,00:00:24,5,60.00%,57.14%,₹0.00
/value-of-internship-for-students/,7,7,00:00:05,6,100.00%,85.71%,₹0.00
/about/our-team/,6,2,00:00:07,2,50.00%,33.33%,₹0.00
/effective-seo-strategy/,6,5,00:09:04,2,100.00%,50.00%,₹0.00
/product/,6,5,00:00:02,4,75.00%,83.33%,₹0.00
/seo-dos-donts/,6,5,00:13:47,4,75.00%,66.67%,₹0.00
/backlinks-in-seo/,5,5,00:00:00,4,100.00%,100.00%,₹0.00
/blog-2/,5,2,00:02:14,0,0.00%,0.00%,₹0.00
/course/php/,5,5,00:00:00,5,100.00%,100.00%,₹0.00
/job-category/internship/,5,2,00:01:36,1,0.00%,40.00%,₹0.00
/keyword-research/,5,5,00:01:07,2,100.00%,80.00%,₹0.00
/leverage-browser-cache/,5,5,00:00:00,5,100.00%,100.00%,₹0.00
/privacy-policy/,5,4,00:00:08,2,100.00%,60.00%,₹0.00
/product/fb-auto/,5,4,00:00:34,0,0.00%,20.00%,₹0.00
/project-category/seo-portfolio/,5,4,00:00:13,0,0.00%,0.00%,₹0.00
/project/surjit-food-plaza/,5,3,00:00:03,0,0.00%,20.00%,₹0.00
/research/web/,5,5,00:09:33,0,0.00%,60.00%,₹0.00
/service/website-redesign/,5,4,00:03:36,1,0.00%,0.00%,₹0.00
/avoid-bad-request/,4,4,00:00:07,3,100.00%,75.00%,₹0.00
/avoid-landing-page-redirects/,4,4,00:03:00,4,75.00%,75.00%,₹0.00
/digital-marketing-offer/,4,3,00:00:24,2,50.00%,50.00%,₹0.00
/ecommerce-website/,4,4,00:00:33,1,100.00%,25.00%,₹0.00
/resources/frequently-asked-questions/,4,4,00:03:41,1,100.00%,25.00%,₹0.00
/service/waas/,4,4,00:00:54,2,100.00%,75.00%,₹0.00
/solution/corporate-branding/,4,3,00:00:03,2,100.00%,75.00%,₹0.00
/solution/research-analytics/,4,4,00:00:38,1,100.00%,25.00%,₹0.00
/partners/franchise/,3,3,00:00:00,3,100.00%,100.00%,₹0.00
/project-category/logo-design-portfolio/,3,3,00:03:18,0,0.00%,66.67%,₹0.00
/project/360-tour-planners/,3,1,00:00:09,0,0.00%,0.00%,₹0.00
/project/amardeepsinghgill/,3,3,00:00:00,3,100.00%,100.00%,₹0.00
/project/amitsar-world/,3,3,00:00:28,0,0.00%,66.67%,₹0.00
/service/ecommerce-development/,3,3,00:00:23,1,0.00%,0.00%,₹0.00
/service/iaas/,3,3,00:00:30,0,0.00%,33.33%,₹0.00
/sites/backup_files/limesurveyforum.png,3,3,00:00:00,3,100.00%,100.00%,₹0.00
/skill-yoga/,3,3,00:00:00,2,100.00%,100.00%,₹0.00
/solution/project-consultancy/,3,3,00:00:11,0,0.00%,66.67%,₹0.00
/specify-image-dimensions/,3,3,00:00:00,3,100.00%,100.00%,₹0.00
/team/rajinder-kaur/,3,2,00:00:06,1,100.00%,33.33%,₹0.00
/?fbclid=IwAR2ccPmvPv3j0YOdMVbNsps8lCodVpdjXURth0QReXOPhJWkzpY5atbRPS8,2,1,00:00:23,1,0.00%,0.00%,₹0.00
/2020/12/,2,2,00:01:25,1,0.00%,50.00%,₹0.00
/admin/login.php,2,2,00:00:00,2,100.00%,100.00%,₹0.00
/contact/testimonials,2,2,00:00:00,2,100.00%,100.00%,₹0.00
/faq/how-do-i-use-my-webmail-interface/,2,2,00:00:08,2,50.00%,50.00%,₹0.00
/faq/which-mobile-phones-can-i-access-my-mail-from/,2,2,00:00:11,1,100.00%,50.00%,₹0.00
/project-category/software-development-portfolio/,2,2,00:00:00,0,0.00%,100.00%,₹0.00
/project-category/web-development-portfolio/,2,2,00:00:08,0,0.00%,0.00%,₹0.00
/project/leehday/,2,2,00:00:37,0,0.00%,50.00%,₹0.00
/project/shaheed-baba-jiwan-singh-khalsa-college/,2,2,00:00:19,0,0.00%,50.00%,₹0.00
/terms-and-conditions/,2,2,00:00:21,1,100.00%,50.00%,₹0.00
/update/oxo-solutions-csoc-2-guru-nanak-dev-university/,2,2,00:00:07,0,0.00%,0.00%,₹0.00
/?customize_changeset_uuid=d9bfc3ee-865f-4b50-b755-24d096f5107e&customize_theme=aione&customize_messenger_channel=preview-0,1,1,00:01:23,0,0.00%,0.00%,₹0.00
/?epik=dj0yJnU9cTNBTTRfTFlQYjQ1NzFZcDVlMGhPWElDX0EtRmR2cEMmcD0wJm49Y2NqelJ4OGFmMDExLV84TktGaWFGQSZ0PUFBQUFBR0FUcFRN,1,1,00:00:00,0,0.00%,100.00%,₹0.00
/?fbclid=IwAR0fap483GvD7HSV7JidgVXJP4V-Zu3ffYQw7fOS-MZ9Owku-8Lrk7yLZqg,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/?fbclid=IwAR0IU9nJyoIit-V0uCEZPGtMF0LaypiJD3aS7fTjue_kdFfirvuAGi9wsWY,1,1,00:13:32,0,0.00%,0.00%,₹0.00
/?fbclid=IwAR3bqUwOo0g5RlOCWoZHr7GrPCoOZAJTqgL9rL7snXnVe551bFt8Ru2yKsM,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/?fbclid=IwAR3TU1d9LGRumMCqxAftmBIwgq9MPwI0b4KMN3taweghdHgV2mvlA4pzt1M,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/13-key-points-to-be-considered-before-buying-web-hosting/?unapproved=158&moderation-hash=409697624696d9e3c31c4011f707d485,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/aione-slider/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/aione-slider/crm-testimonial/,1,1,00:00:17,1,0.00%,0.00%,₹0.00
/aione-slider/oxotrip/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/avoid-a-character-set-in-meta-tag/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/blog-2/?preview_id=4397&preview_nonce=1b72110b78&preview=true&_thumbnail_id=28410,1,1,00:00:12,0,0.00%,0.00%,₹0.00
/career/apply-online/,1,1,00:28:44,1,0.00%,0.00%,₹0.00
/cart/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/contactus,1,1,00:00:04,1,0.00%,0.00%,₹0.00
/effective-seo-strategy/?fbclid=IwAR0YSESvZG4cwB0tp0jV3o7Fft04COQrU-eOOAVLA4rcAW26RQrEV6J5fCI,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/effective-seo-strategy/?fbclid=IwAR201l_vZHrG8Czl2u4L1fYyDnpR_5uxj_YJQBgH-m4ICNbC2rNHQ-Me2q4,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/event/csoc-2-0/,1,1,00:00:06,0,0.00%,0.00%,₹0.00
/experience/fresher/,1,1,00:01:48,0,0.00%,0.00%,₹0.00
/faq/can-i-create-mailing-lists/,1,1,00:00:00,0,0.00%,100.00%,₹0.00
/faq/do-you-have-examples-of-websites-you-have-built/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/faq/faqs2/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/faq/how-do-i-know-i-really-need-website-maintenance/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/faq/what-is-the-difference-between-organic-inorganic-listings/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/faq/what-is-the-space-provided-per-email-account/,1,1,00:00:04,0,0.00%,0.00%,₹0.00
/faq/what-is-web-hosting/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/faq/what-ports-do-i-need-to-use-for-email-hosting/,1,1,00:00:03,0,0.00%,0.00%,₹0.00
/how-to-enable-keep-alive/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/job-category/all/,1,1,00:00:13,0,0.00%,0.00%,₹0.00
/minimize-redirects/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/opening/?fbclid=IwAR1LOZD-pM0hp8B_qpfp9OdWnTDvAdbHgz7EBSqdauamrDHSOOAbMyqmp5U,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/product-category/wordpress/themes/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/product/aione/,1,1,00:00:00,0,0.00%,100.00%,₹0.00
/project/baba-kuma-singh-group-of-institute/,1,1,00:00:00,0,0.00%,100.00%,₹0.00
/project/directory/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/project/gkv-builders/,1,1,00:01:03,0,0.00%,0.00%,₹0.00
/project/karma-entertainment/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/project/saar-enterprise/,1,1,00:00:06,0,0.00%,0.00%,₹0.00
/salon,1,1,00:00:22,1,0.00%,0.00%,₹0.00
/salon/,1,1,00:01:09,0,0.00%,0.00%,₹0.00
/search?q=cache:oV6HtiDeOdoJ:https://oxosolutions.com/avoid-an-excessive-dom-size/+&cd=12&hl=en&ct=clnk&gl=my&client=firefox-b-d,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/seo-dos-donts/?fbclid=IwAR3ii_XBlerYzSlsB9QNpjVzcyfybCoXoTlWothvHhU4WwCZu6ii1Am4lVI,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/service/business-automation/,1,1,00:01:01,0,0.00%,0.00%,₹0.00
/team/amritdeep-kaur/,1,1,00:00:04,0,0.00%,0.00%,₹0.00
/team/kajal-devgun/,1,1,00:00:00,1,0.00%,0.00%,₹0.00
/team/krishma/,1,1,00:00:11,0,0.00%,0.00%,₹0.00
/team/mitali-takiar/,1,1,00:00:11,1,0.00%,0.00%,₹0.00
/team/sakkatar-singh/,1,1,00:00:05,0,0.00%,0.00%,₹0.00
/team/sgs-sandhu/,1,1,00:00:44,0,0.00%,0.00%,₹0.00
/terms-and-conditions/hosting-and-server-policy/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/tutotial-create-a-plugin/,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/viewfound.php?o=26541&t=1614250591&z=88697&sh=1,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/why-do-most-indian-startups-fail/,1,1,00:00:00,0,0.00%,100.00%,₹0.00
/wp-content/uploads/2019/03/LOGO-BY-S.R.-EDITING-ZONE-13.pnglogin page,1,1,00:00:00,1,100.00%,100.00%,₹0.00
/zoho-domain-verification-html/,1,1,00:00:00,0,0.00%,100.00%,₹0.00
,"6,157","5,375",00:01:40,"3,979",80.77%,64.63%,₹0.00

Day Index,Page Views
01/01/2021,37
02/01/2021,50
03/01/2021,49
04/01/2021,101
05/01/2021,65
06/01/2021,90
07/01/2021,87
08/01/2021,81
09/01/2021,85
10/01/2021,49
11/01/2021,91
12/01/2021,102
13/01/2021,74
14/01/2021,85
15/01/2021,58
16/01/2021,66
17/01/2021,62
18/01/2021,102
19/01/2021,124
20/01/2021,122
21/01/2021,126
22/01/2021,119
23/01/2021,95
24/01/2021,62
25/01/2021,94
26/01/2021,73
27/01/2021,26
28/01/2021,227
29/01/2021,138
30/01/2021,137
31/01/2021,55
01/02/2021,180
02/02/2021,117
03/02/2021,64
04/02/2021,115
05/02/2021,218
06/02/2021,107
07/02/2021,56
08/02/2021,98
09/02/2021,97
10/02/2021,78
11/02/2021,111
12/02/2021,89
13/02/2021,112
14/02/2021,68
15/02/2021,109
16/02/2021,94
17/02/2021,140
18/02/2021,224
19/02/2021,138
20/02/2021,146
21/02/2021,68
22/02/2021,123
23/02/2021,146
24/02/2021,124
25/02/2021,125
26/02/2021,80
27/02/2021,77
28/02/2021,59
01/03/2021,102
02/03/2021,160
,"6,157"
